- towplane, tail-number
- (leading tab) release altitude, cost
SSC Pawnee	N424BY
	0	25.00
	100	25.00
	200	25.00
	300	25.00
	400	25.00
	500	25.00
	600	25.00
	700	25.00
	800	25.00
	900	25.00
	1000	25.00
	1100	26.00
	1200	27.00
	1300	28.00
	1400	29.00
	1500	30.00
	1600	31.00
	1700	32.00
	1800	33.00
	1900	34.00
	2000	35.00
	2100	36.00
	2200	37.00
	2300	38.00
	2400	39.00
	2500	40.00
	2600	41.00
	2700	42.00
	2800	43.00
	2900	44.00
	3000	45.00
	3100	46.00
	3200	47.00
	3300	48.00
	3400	49.00
	3500	50.00
	3600	51.00
	3700	52.00
	3800	53.00
	3900	54.00
	4000	55.00
	4100	56.00
	4200	57.00
	4300	58.00
	4400	59.00
	4500	60.00
	4600	61.00
	4700	62.00
	4800	63.00
	4900	64.00
	5000	65.00
	5100	66.00
	5200	67.00
	5300	68.00
	5400	69.00
	5500	70.00
	5600	71.00
	5700	72.00
	5800	73.00
	5900	74.00
	6000	75.00
	6100	76.00
	6200	77.00
	6300	78.00
	6400	79.00
	6500	80.00
	6600	81.00
	6700	82.00
	6800	83.00
	6900	84.00
	7000	85.00
	7100	86.00
	7200	87.00
	7300	88.00
	7400	89.00
	7500	90.00
	7600	91.00
	7700	92.00
	7800	93.00
	7900	94.00
	8000	95.00
	8100	96.00
	8200	97.00
	8300	98.00
	8400	99.00
	8500	100.00
	8600	101.00
	8700	102.00
	8800	103.00
	8900	104.00
	9000	105.00
	9100	106.00
	9200	107.00
	9300	108.00
	9400	109.00
	9500	110.00
	9600	111.00
	9700	112.00
	9800	113.00
	9900	114.00
SSC Husky	N6085S
	0	25.00
	100	25.00
	200	25.00
	300	25.00
	400	25.00
	500	25.00
	600	25.00
	700	25.00
	800	25.00
	900	25.00
	1000	25.00
	1100	26.00
	1200	27.00
	1300	28.00
	1400	29.00
	1500	30.00
	1600	31.00
	1700	32.00
	1800	33.00
	1900	34.00
	2000	35.00
	2100	36.00
	2200	37.00
	2300	38.00
	2400	39.00
	2500	40.00
	2600	41.00
	2700	42.00
	2800	43.00
	2900	44.00
	3000	45.00
	3100	46.00
	3200	47.00
	3300	48.00
	3400	49.00
	3500	50.00
	3600	51.00
	3700	52.00
	3800	53.00
	3900	54.00
	4000	55.00
	4100	56.00
	4200	57.00
	4300	58.00
	4400	59.00
	4500	60.00
	4600	61.00
	4700	62.00
	4800	63.00
	4900	64.00
	5000	65.00
	5100	66.00
	5200	67.00
	5300	68.00
	5400	69.00
	5500	70.00
	5600	71.00
	5700	72.00
	5800	73.00
	5900	74.00
	6000	75.00
	6100	76.00
	6200	77.00
	6300	78.00
	6400	79.00
	6500	80.00
	6600	81.00
	6700	82.00
	6800	83.00
	6900	84.00
	7000	85.00
	7100	86.00
	7200	87.00
	7300	88.00
	7400	89.00
	7500	90.00
	7600	91.00
	7700	92.00
	7800	93.00
	7900	94.00
	8000	95.00
	8100	96.00
	8200	97.00
	8300	98.00
	8400	99.00
	8500	100.00
	8600	101.00
	8700	102.00
	8800	103.00
	8900	104.00
	9000	105.00
	9100	106.00
	9200	107.00
	9300	108.00
	9400	109.00
	9500	110.00
	9600	111.00
	9700	112.00
	9800	113.00
	9900	114.00
Self Launch Motorglider	NA
	0	0.00
ESC Winch Launch	NA
	0	0.00
	100	0.00
	200	0.00
	300	0.00
	400	0.00
	500	0.00
	600	0.00
	700	0.00
	800	0.00
	900	0.00
	1000	0.00
	1100	0.00
	1200	0.00
	1300	0.00
	1400	0.00
	1500	0.00
	1600	0.00
	1700	0.00
	1800	0.00
	1900	0.00
	2000	0.00
	2100	0.00
	2200	0.00
	2300	0.00
	2400	0.00
	2500	0.00
	2600	0.00
	2700	0.00
	2800	0.00
	2900	0.00
	3000	0.00
